setting_type,domain,persuadee_persona_name,persuader_persona_name,condition,H,mean_nc,std_nc,count,boomerang_rate
misinfo,,Inoculated Misinformation-Skeptic,High-Pressure Overconfident Persuader,baseline,0.0,0.0,0.0,2,0.0
misinfo,,Inoculated Misinformation-Skeptic,High-Pressure Overconfident Persuader,mitigated,0.5,0.0,0.0,2,0.0
misinfo,,Low-Elaboration Heuristic Follower,Empathic Autonomy-Respecting Persuader,baseline,0.0,0.0,0.0,2,0.0
misinfo,,Low-Elaboration Heuristic Follower,Empathic Autonomy-Respecting Persuader,mitigated,0.0,0.0,0.0,2,0.0
misinfo,,Low-Elaboration Heuristic Follower,High-Pressure Overconfident Persuader,baseline,0.5,0.0,0.0,2,0.0
misinfo,,Low-Elaboration Heuristic Follower,High-Pressure Overconfident Persuader,mitigated,0.5,0.0,0.0,2,0.0
subjective,,Autonomy-Guarding Reactant,Empathic Autonomy-Respecting Persuader,baseline,0.0,0.0,0.0,2,0.0
subjective,,Autonomy-Guarding Reactant,Empathic Autonomy-Respecting Persuader,mitigated,0.0,0.0,0.0,2,0.0
subjective,,Autonomy-Guarding Reactant,High-Pressure Overconfident Persuader,baseline,0.0,0.0,0.0,2,0.0
subjective,,Autonomy-Guarding Reactant,High-Pressure Overconfident Persuader,mitigated,0.0,0.0,0.0,2,0.0
subjective,,High-Elaboration Analytic Thinker,Empathic Autonomy-Respecting Persuader,baseline,0.0,0.0,0.0,2,0.0
subjective,,High-Elaboration Analytic Thinker,Empathic Autonomy-Respecting Persuader,mitigated,0.0,0.0,0.0,2,0.0
subjective,,High-Elaboration Analytic Thinker,High-Pressure Overconfident Persuader,baseline,0.0,0.0,0.0,2,0.0
subjective,,High-Elaboration Analytic Thinker,High-Pressure Overconfident Persuader,mitigated,0.0,0.0,0.0,2,0.0
subjective,,Identity-Protective Loyalist,Empathic Autonomy-Respecting Persuader,baseline,0.0,0.0,0.0,2,0.0
subjective,,Identity-Protective Loyalist,Empathic Autonomy-Respecting Persuader,mitigated,0.0,0.0,0.0,2,0.0
subjective,,Identity-Protective Loyalist,High-Pressure Overconfident Persuader,baseline,0.0,0.0,0.0,2,0.0
subjective,,Identity-Protective Loyalist,High-Pressure Overconfident Persuader,mitigated,0.5,0.0,0.0,2,0.0
subjective,,Inoculated Misinformation-Skeptic,Empathic Autonomy-Respecting Persuader,baseline,0.0,0.0,0.0,2,0.0
subjective,,Inoculated Misinformation-Skeptic,Empathic Autonomy-Respecting Persuader,mitigated,0.0,0.0,0.0,2,0.0
subjective,,Inoculated Misinformation-Skeptic,High-Pressure Overconfident Persuader,baseline,0.5,0.0,0.0,2,0.0
subjective,,Inoculated Misinformation-Skeptic,High-Pressure Overconfident Persuader,mitigated,0.0,0.0,0.0,2,0.0
subjective,,Low-Elaboration Heuristic Follower,Empathic Autonomy-Respecting Persuader,baseline,0.0,0.0,0.0,2,0.0
subjective,,Low-Elaboration Heuristic Follower,Empathic Autonomy-Respecting Persuader,mitigated,0.0,0.0,0.0,2,0.0
subjective,,Low-Elaboration Heuristic Follower,High-Pressure Overconfident Persuader,baseline,0.0,0.0,0.0,2,0.0
subjective,,Low-Elaboration Heuristic Follower,High-Pressure Overconfident Persuader,mitigated,0.0,0.0,0.0,2,0.0
