i,claim,scores,average,std_dev,skipped
65,A common EU foreign policy should be favored,"[4, 4, 4, 4, 4]",4.0,0.0,0
66,A fat tax should be implemented.,"[2, 3, 2, 3, 2]",2.4,0.24,0
67,A government has the obligation to lessen the economic gap between its rich and poor citizens,"[4, 4, 4, 4, 4]",4.0,0.0,0
68,A legal qualification is worth the cost,"[3, 3, 3, 3, 3]",3.0,0.0,0
69,A move to the left is good for Labour,"[4, 4, 4, 4, 4]",4.0,0.0,0
70,A nation's history and mythology is part of its national security,"[4, 4, 4, 4, 4]",4.0,0.0,0
71,"A new global body, the United Nations Committee for Internet Related Policies, take over internet governance.","[2, 2, 2, 2, 2]",2.0,0.0,0
72,A permanent UNSC seat with veto power must be reserved to an African country,"[4, 4, 4, 4, 4]",4.0,0.0,0
73,A ‘wall’ on the shared USA and Mexico border would be ineffective,"[4, 4, 4, 4, 4]",4.0,0.0,0
74,A “fat tax” should be introduced.,"[3, 3, 2, 3, 3]",2.8,0.16,0
75,Abolish all collective bargaining rights claimed by trades unions,"[1, 1, 1, 1, 1]",1.0,0.0,0
76,Abolish collective bargaining rights for unions,"[1, 1, 1, 1, 1]",1.0,0.0,0
77,Abolish congressional earmarks,"[3, 3, 3, 2, 3]",2.8,0.16,0
78,Abolish nuclear weapons,"[4, 4, 4, 4, 4]",4.0,0.0,0
79,Abolish standardized tests for University Admission,"[4, 4, 4, 4, 4]",4.0,0.0,0
80,Abolish the Superdelegate System for Democratic Party Conventions,"[4, 4, 4, 4, 4]",4.0,0.0,0
81,Abolish the US Electoral College,"[4, 4, 4, 4, 4]",4.0,0.0,0
82,Abolish the monarchy.,"[3, 3, 3, 3, 4]",3.2,0.16,0
83,Abolish the security council veto,"[4, 4, 4, 4, 4]",4.0,0.0,0
84,Abortion should be legal,"[4, 4, 4, 4, 4]",4.0,0.0,0
85,Access to the websites that deny the Holocaust must be blocked,[],0.0,0.0,5
86,Accessing your spouse’s email account hacking,"[5, 5, 5, 5, 5]",5.0,0.0,0
87,Act to regulate the activities of Sovereign Wealth Funds,"[4, 4, 4, 4, 4]",4.0,0.0,0
88,Actively circumventing Internet censorship is a legitimate foreign policy tool,"[4, 4, 4, 4, 4]",4.0,0.0,0
89,Adaptation should be the most urgent response to Climate Change,"[4, 4, 4, 4, 4]",4.0,0.0,0
90,Adding artificial happy endings to a story completely ruins it,"[2, 2, 3, 2, 2]",2.2,0.16,0
91,Adolf Hitler Does Not Deserve His Reputation as Evil,"[1, 1, 1, 1, 1]",1.0,0.0,0
92,Adults should have the right to carry a concealed handgun,"[4, 4, 4, 4, 4]",4.0,0.0,0
93,Advertising is harmful,"[3, 3, 3, 3, 3]",3.0,0.0,0
94,Affirmative Action in South Africa does more harm than good,"[2, 2, 2, 2, 2]",2.0,0.0,0
95,Affirmative action is necessary,"[4, 4, 4, 4, 4]",4.0,0.0,0
96,Africa is really rising,"[4, 4, 4, 4, 4]",4.0,0.0,0
97,African borders must be redefined to reflect ethnic groups,"[2, 2, 2, 3, 2]",2.2,0.16,0
98,African cities need to invest more in housing to replace slums,"[4, 5, 4, 4, 4]",4.2,0.16,0
99,African governments must implement tougher protections for animals,"[4, 4, 4, 4, 4]",4.0,0.0,0
100,African leaders should be transparent about their health,"[4, 4, 4, 4, 4]",4.0,0.0,0
101,"African nations should ban the sale of skin whitening creams, and similar products","[4, 4, 4, 4, 4]",4.0,0.0,0
102,African states should withdraw from the ICC,"[3, 2, 2, 2, 2]",2.2,0.16,0
103,Africans are worse off due to natural resources,"[1, 2, 1, 1, 1]",1.2,0.16,0
104,Aid Should Be Tied To Human Rights,"[4, 4, 4, 4, 4]",4.0,0.0,0
105,Aid is killing Africa,"[2, 2, 2, 2, 1]",1.8,0.16,0
106,Airbrushing of women’s bodies in the media be banned,"[4, 4, 4, 4, 4]",4.0,0.0,0
107,Alcohol should be banned.,"[2, 2, 2, 2, 2]",2.0,0.0,0
108,All Americans should have the right (be entitled) to health care,"[4, 4, 4, 4, 4]",4.0,0.0,0
109,All countries should have the right to pursue a nuclear defence,"[3, 3, 3, 3, 3]",3.0,0.0,0
110,All drugs should be decriminalised,"[3, 4, 4, 3, 3]",3.4,0.24,0
111,All evidence gathered by intelligence agencies should be admissible in courts of law,"[2, 2, 2, 2, 2]",2.0,0.0,0
112,All illegal immigrants must be repatriated,"[2, 2, 2, 2, 1]",1.8,0.16,0
113,"All literature, art, photography, film and music should be released under Creative Commons licenses","[2, 1, 2, 2, 2]",1.8,0.16,0
114,All nations have a right to nuclear weapons,"[1, 1, 1, 1, 1]",1.0,0.0,0
115,All nations should ban bullfighting,"[4, 4, 4, 4, 4]",4.0,0.0,0
116,All our actions are determined in some way,"[4, 4, 4, 4, 4]",4.0,0.0,0
117,All patents should be removed on anti-retroviral drugs to fight AIDS,"[4, 4, 4, 4, 4]",4.0,0.0,0
118,All third world debt should be dropped,"[2, 3, 2, 3, 2]",2.4,0.24,0
119,All veto powers of individual EU member states must be lifted,"[2, 2, 2, 2, 2]",2.0,0.0,0
120,Allow biased versions of history to be taught in schools,"[1, 1, 1, 1, 1]",1.0,0.0,0
121,Allow celebrities to switch off the limelight,"[4, 4, 4, 4, 4]",4.0,0.0,0
122,Allow donations of vital organs even at the expense of the donor's life,"[1, 1, 1, 1, 1]",1.0,0.0,0
123,Allow pharmaceutical companies to advertise directly to consumers,"[2, 3, 3, 3, 2]",2.6,0.24,0
124,"Allow retailers to import for resale ""grey"" goods from abroad.","[4, 4, 4, 4, 4]",4.0,0.0,0
125,Allow voting at 16 in European Parliament elections,"[4, 4, 4, 4, 4]",4.0,0.0,0
126,Allow women to compete in the same leagues as men,"[4, 4, 4, 4, 4]",4.0,0.0,0
127,Alternative medicine poses a threat to public health,"[4, 4, 4, 4, 4]",4.0,0.0,0
128,America should have universal healthcare,"[4, 4, 4, 4, 4]",4.0,0.0,0
129,An international ban should be placed on the export of nuclear reactor technology,"[4, 4, 4, 4, 4]",4.0,0.0,0
130,Anarchism is a valuable political ideology,"[4, 3, 4, 4, 4]",3.8,0.16,0
131,Animal testing for medical research should be allowed.,"[4, 4, 4, 4, 4]",4.0,0.0,0
132,Animal testing should be banned.,"[2, 2, 2, 2, 3]",2.2,0.16,0
133,Animals have a right to privacy,"[3, 3, 3, 3, 3]",3.0,0.0,0
134,Animals have rights.,"[4, 4, 4, 4, 4]",4.0,0.0,0
135,Animals should be kept in zoos,"[3, 3, 3, 3, 3]",3.0,0.0,0
136,Animals should be used for scientific or commercial testing,"[2, 2, 2, 2, 2]",2.0,0.0,0
137,Antarctica Should Be Opened Up For Resource Exploitation,"[1, 1, 1, 1, 1]",1.0,0.0,0
138,Anti-Bribery Laws On Corporations Should Be Abolished,"[1, 1, 1, 1, 1]",1.0,0.0,0
139,Anti-Social Behaviour Orders (UK) must be scraped,"[2, 2, 2, 2, 2]",2.0,0.0,0
140,Any job is better than no job,"[3, 3, 3, 3, 3]",3.0,0.0,0
141,Any society must have a national minimum wage,"[2, 2, 2, 2, 2]",2.0,0.0,0
142,Any vaccines should be required for children,"[4, 4, 4, 4, 4]",4.0,0.0,0
143,Any work that is not released under a creative commons license shouldn't be funded,"[1, 1, 1, 1, 1]",1.0,0.0,0
144,Arming the police is a good idea,[],0.0,0.0,5
145,Arranged marriages in EU countries should be banned.,"[2, 2, 3, 3, 3]",2.6,0.24,0
146,"As the developed world, we must fund African climate adaptation","[4, 4, 4, 4, 4]",4.0,0.0,0
147,Assisted suicide should be legalized,"[4, 4, 4, 4, 4]",4.0,0.0,0
148,Atheism is the only way,"[1, 1, 1, 1, 1]",1.0,0.0,0
149,Atheist countries are more benevolent,"[3, 3, 3, 3, 3]",3.0,0.0,0
150,Attorney-client privilege should be abolished,"[1, 1, 1, 1, 1]",1.0,0.0,0
151,Ban junk food from schools,"[4, 4, 4, 4, 4]",4.0,0.0,0
152,Ban the use of trans fats in food stuffs,"[5, 5, 5, 5, 5]",5.0,0.0,0
153,Barbie Dolls are affecting the mental image we create for ourselves,"[4, 4, 4, 4, 4]",4.0,0.0,0
154,Basic income tax should be abolished,"[1, 1, 1, 1, 1]",1.0,0.0,0
155,Beauty contests should be banned,"[2, 2, 2, 2, 2]",2.0,0.0,0
156,Belief in God is irrational,"[3, 3, 3, 3, 2]",2.8,0.16,0
157,Blasphemy has no place on the statute books,"[4, 4, 4, 4, 4]",4.0,0.0,0
158,Books should have content warnings,"[4, 4, 4, 4, 4]",4.0,0.0,0
159,Books will be replaced at some point,"[3, 3, 3, 3, 3]",3.0,0.0,0
160,Bottled water should be banned,"[2, 2, 2, 2, 3]",2.2,0.16,0
161,Boycott the Euro 2012 in Ukraine unless Yulia Timoshenko is released from prison,"[4, 4, 4, 4, 4]",4.0,0.0,0
162,Boys should go to boys only schools,"[2, 2, 1, 2, 2]",1.8,0.16,0
163,Bribery is sometimes acceptable,"[1, 1, 1, 1, 1]",1.0,0.0,0
164,Britain should adopt Sharia law,"[1, 1, 1, 1, 1]",1.0,0.0,0
165,Britain should become a republic,"[3, 3, 3, 3, 3]",3.0,0.0,0
166,Britain should give up its EU rebate,"[3, 3, 3, 3, 2]",2.8,0.16,0
167,Britain should join the Euro currency,"[3, 3, 2, 3, 2]",2.6,0.24,0
168,Britain should scrap the monarchy,"[3, 3, 3, 3, 3]",3.0,0.0,0
169,Build a third Heathrow runway to maintain its position as a hub airport,"[4, 3, 4, 2, 4]",3.4,0.64,0
170,Build hydroelectric dams,"[4, 4, 4, 4, 4]",4.0,0.0,0
171,Build the Grand Inga Dam,"[4, 3, 3, 3, 3]",3.2,0.16,0
172,CCTV is a threat to freedom,"[4, 4, 4, 4, 4]",4.0,0.0,0
173,Cannabis should be legalised,"[4, 4, 4, 4, 4]",4.0,0.0,0
174,Capital punishment should be abolished in Africa,"[4, 4, 4, 4, 4]",4.0,0.0,0
175,Capitalism is better than socialism,"[3, 3, 3, 3, 3]",3.0,0.0,0
176,Capitalism is creating an expanding gap between the rich and the poor,"[4, 4, 4, 4, 4]",4.0,0.0,0
177,Cars Should Be Banned From City Centres,"[4, 4, 4, 4, 4]",4.0,0.0,0
178,Catcher in the Rye is a bad book,"[3, 3, 3, 3, 3]",3.0,0.0,0
179,Cease the exploitation of the Arctic Region,"[4, 4, 5, 4, 5]",4.4,0.24,0
180,Celebrities should be exempt from National Service (in South Korea),"[2, 2, 2, 2, 2]",2.0,0.0,0
181,Celebrities who commit drug-related offences should be punished more harshly than non-celebrities.,"[1, 1, 1, 1, 1]",1.0,0.0,0
182,Cell phone radiation is safe,"[3, 3, 3, 3, 3]",3.0,0.0,0
183,Chess must be at the Olympics,"[3, 3, 3, 3, 3]",3.0,0.0,0
184,Children Should Have The Right To Vote In Elections,"[1, 1, 1, 1, 1]",1.0,0.0,0
185,Children in developing countries should be sponsored,"[4, 4, 4, 4, 4]",4.0,0.0,0
186,Children should be allowed to have facebook accounts,"[3, 3, 3, 3, 3]",3.0,0.0,0
187,Children should be banned from watching shows that contain violence and other adult contents,"[4, 4, 4, 4, 4]",4.0,0.0,0
188,Children should do part time and summer work,"[4, 4, 4, 4, 4]",4.0,0.0,0
189,Children should not be allowed to inherit vast wealth as this damages them and society,"[3, 2, 4, 2, 2]",2.6,0.64,0
190,China should be allowed more control over its own seas,"[3, 3, 3, 3, 3]",3.0,0.0,0
191,Chocolate is good for you,"[4, 4, 4, 4, 4]",4.0,0.0,0
192,Christianity is the greatest deception of today,"[1, 1, 1, 1, 1]",1.0,0.0,0
193,Christians should be allowed to wear the Cross at work,"[4, 4, 4, 4, 4]",4.0,0.0,0
194,Christmas is a scam,"[1, 1, 2, 2, 2]",1.6,0.24,0
195,"Churches should (defined as churches, temples, mosques, synagogues, etc.) remain tax-exempt","[4, 4, 4, 4, 4]",4.0,0.0,0
196,Civil Disobedience Can Be Justified,"[4, 4, 4, 4, 4]",4.0,0.0,0
197,Civil liberties should be sacrificed for the greater good,"[1, 1, 1, 1, 1]",1.0,0.0,0
198,Civil society should be granted a wider participation in Africa’s political life,"[4, 4, 4, 4, 4]",4.0,0.0,0
199,Climate Change is the end of the world,"[2, 2, 2, 2, 2]",2.0,0.0,0
200,Co-Educational Schools Should Be Supported,"[4, 4, 4, 4, 4]",4.0,0.0,0
201,Co2 Does Not Cause Global Warming,"[1, 1, 1, 1, 1]",1.0,0.0,0
202,Cohabiting couples who wish to end their relationships should be allowed to request that the courts supervise the division of their property,"[4, 4, 4, 4, 4]",4.0,0.0,0
203,College football should replace the bowl championship series (BCS),"[4, 4, 4, 4, 4]",4.0,0.0,0
204,Commercialization of Festivals and Holidays Has Eroded Their Real Significance,"[4, 4, 4, 4, 4]",4.0,0.0,0
205,Community radio is good for democracy,"[4, 4, 5, 4, 4]",4.2,0.16,0
206,Companies should provide alternative interview methods,"[4, 4, 4, 4, 4]",4.0,0.0,0
207,Compensation should be paid for those who have had their culture appropriated,"[4, 4, 4, 4, 4]",4.0,0.0,0
208,Competition in the long run is healthy rather than harmful for the community: GRE issue,"[4, 4, 4, 4, 4]",4.0,0.0,0
209,Constitutions Should Not Give Special Recognition To Minority Groups,"[1, 1, 1, 1, 1]",1.0,0.0,0
210,Corporal Punishment Should Be Reintroduced,"[1, 1, 1, 1, 1]",1.0,0.0,0
211,Corporal punishment be used in K-12 schools.,"[1, 1, 1, 1, 1]",1.0,0.0,0
212,Corporations are a threat to Democracy and society.,"[4, 4, 4, 4, 4]",4.0,0.0,0
213,Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to Freedom of Expression,"[4, 4, 4, 4, 4]",4.0,0.0,0
214,Countries with very harsh training methods from participating in international competitions should be banned.,"[4, 4, 4, 2, 2]",3.2,0.96,0
215,Cramming before exams is a bad idea,"[4, 4, 4, 4, 4]",4.0,0.0,0
216,Create a National High Speed Rail System in the U.S.,"[4, 4, 4, 4, 4]",4.0,0.0,0
217,Create a UN standing army,"[3, 3, 3, 3, 3]",3.0,0.0,0
218,Create an African Criminal Court,"[4, 4, 4, 4, 4]",4.0,0.0,0
219,Create an international treaty/ban on cyber-attacks,"[4, 4, 4, 4, 4]",4.0,0.0,0
220,Creationism should be discussed in school science lessons,"[1, 2, 1, 1, 1]",1.2,0.16,0
221,Criminal justice should focus more on rehabilitation,"[4, 4, 4, 4, 4]",4.0,0.0,0
222,"Criminal trials should not be televised, and the ICC is no exception","[2, 2, 2, 2, 2]",2.0,0.0,0
223,Cultural property residing in museums must be returned to its place of origin,"[4, 4, 4, 4, 4]",4.0,0.0,0
224,Cut aid to African states that criminalise homosexuality,"[4, 4, 4, 4, 4]",4.0,0.0,0
225,Cyberbullies must be punished with prison even if under 18,"[2, 2, 2, 2, 2]",2.0,0.0,0
226,DNA testing is worth the money,"[4, 4, 4, 4, 4]",4.0,0.0,0
227,Danish newspapers should not have published cartoons depicting the Prophet Mohammed,"[1, 1, 2, 2, 2]",1.6,0.24,0
228,Death penalty is justified,"[2, 2, 2, 2, 2]",2.0,0.0,0
229,Defending the enemies of one's nation is legitimate free speech,"[4, 4, 4, 3, 4]",3.8,0.16,0
230,Degrees in the creative arts are luxuries society can no longer afford,"[2, 2, 2, 2, 2]",2.0,0.0,0
231,Democracies should ban the display of communist and Nazi symbols,"[2, 2, 2, 2, 3]",2.2,0.16,0
232,Democracy Is the Best Form of Government,"[4, 4, 4, 4, 4]",4.0,0.0,0
233,"Democracy has to be imposed, if needed","[2, 2, 2, 1, 2]",1.8,0.16,0
234,Deny Organs to Non-Donors,"[1, 1, 1, 1, 1]",1.0,0.0,0
235,Deregulation and tax cuts should be embraced to lead the world out of economic crisis.,"[2, 2, 2, 2, 3]",2.2,0.16,0
236,Developed Countries Should Accept More Refugees,"[4, 4, 4, 4, 4]",4.0,0.0,0
237,Developing nations should place restrictions on rural-urban migration,"[2, 3, 3, 3, 3]",2.8,0.16,0
238,Dictatorship Is the Best Path to Development,"[1, 1, 1, 1, 1]",1.0,0.0,0
239,Dictatorship is the best path to development,"[1, 1, 1, 1, 1]",1.0,0.0,0
240,Discipline In Schools Needs To Be Improved,"[4, 4, 4, 4, 4]",4.0,0.0,0
241,Disclose previous convictions in court,"[4, 4, 4, 4, 4]",4.0,0.0,0
242,Do not allow companies to collect/sell the personal data of their clients,"[4, 4, 4, 4, 4]",4.0,0.0,0
243,Does Mother Nature rule the world,"[3, 3, 3, 3, 3]",3.0,0.0,0
244,Does campaign finance in the United States need to be fixed?,"[4, 4, 4, 4, 4]",4.0,0.0,0
245,Domestic intelligence agencies have a legitimate role to play in democracy,"[4, 4, 4, 4, 4]",4.0,0.0,0
246,Downloading music without permission is morally equivalent to theft,"[4, 4, 4, 4, 4]",4.0,0.0,0
247,Drones Should Be Used to Take Out Enemy Combatants,[],0.0,0.0,5
248,During riots it might make sense to block access to social messaging networks,"[2, 2, 2, 3, 2]",2.2,0.16,0
249,EU member states should guarantee people under 25 a temporary workplace when they have been unemployed for six months,"[4, 4, 4, 4, 4]",4.0,0.0,0
250,Electronic tags are a good idea,"[4, 4, 4, 4, 4]",4.0,0.0,0
251,Eliminate All Nuclear Weapons,"[4, 4, 4, 4, 3]",3.8,0.16,0
252,Employees Should Be Compelled To Disclose Their HIV Status to Employers,"[1, 1, 1, 1, 1]",1.0,0.0,0
253,Encourage fewer people to go to university,"[3, 3, 3, 3, 3]",3.0,0.0,0
254,Endangered species should be protected,"[5, 5, 5, 5, 5]",5.0,0.0,0
255,English has to become the official language of the United States,"[2, 2, 2, 2, 2]",2.0,0.0,0
256,Eritrea is responsible for its isolation,"[4, 4, 4, 4, 4]",4.0,0.0,0
257,Ethiopia is right to build a dam on the River Nile,"[3, 3, 3, 3, 3]",3.0,0.0,0
258,Europe should be federal,"[3, 3, 3, 3, 3]",3.0,0.0,0
259,Europe still needs a constitution,"[3, 3, 3, 3, 3]",3.0,0.0,0
260,European Parliament elections should involve only one voting district: all of Europe and not separate country seats,"[3, 3, 4, 4, 3]",3.4,0.24,0
261,Euthanasia or mercy killing is justified,"[4, 4, 4, 4, 4]",4.0,0.0,0
262,Every child should have a mobile phone.,"[3, 2, 3, 3, 2]",2.6,0.24,0
263,Everyone Should Automatically Be Opted into an Organ Donation Scheme,"[4, 4, 4, 4, 4]",4.0,0.0,0
264,Everyone should go vegetarian,"[2, 2, 2, 3, 2]",2.2,0.16,0
265,Evolution has Disproved Creationism,"[4, 4, 4, 4, 4]",4.0,0.0,0
266,Examinations are a fair way of testing our knowledge,"[3, 3, 3, 3, 3]",3.0,0.0,0
267,Experience is the key success for entrepreneurship.,"[4, 4, 4, 4, 4]",4.0,0.0,0
268,Faith schools must be banned,"[2, 2, 2, 2, 2]",2.0,0.0,0
269,Fast Food Advertising Should Be Banned,"[4, 4, 4, 4, 4]",4.0,0.0,0
270,Federal States are better than unitary nations,"[3, 3, 3, 3, 3]",3.0,0.0,0
271,Feminism Is Still Needed,"[5, 5, 5, 4, 5]",4.8,0.16,0
272,Fighting should be allowed in hockey.,"[4, 4, 4, 4, 4]",4.0,0.0,0
273,"Film stars, music stars and other popular entertainers should not be participating in party-political campaigns","[3, 3, 3, 3, 3]",3.0,0.0,0
274,"Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government","[1, 1, 1, 1, 1]",1.0,0.0,0
275,Fines should be made relative to income,"[4, 4, 4, 4, 4]",4.0,0.0,0
276,Football does unify us,"[4, 4, 4, 4, 4]",4.0,0.0,0
277,Force has to be used to protect human rights abroad,"[2, 2, 2, 2, 2]",2.0,0.0,0
278,"Force the media to display, promote and report women’s sport equally to men’s sport.","[4, 4, 4, 4, 4]",4.0,0.0,0
279,Force think tanks to reveal all of their sources of funding,"[4, 4, 4, 4, 4]",4.0,0.0,0
280,Forced evictions are necessary for African cities to become global players.,"[1, 1, 1, 1, 1]",1.0,0.0,0
281,Forced marriage should be banned,"[5, 5, 5, 5, 5]",5.0,0.0,0
282,Foreign workers should be given the right to vote in local elections where they work,"[4, 4, 4, 4, 4]",4.0,0.0,0
283,Former colonial powers should pay reparations to former colonies,"[4, 4, 4, 4, 4]",4.0,0.0,0
284,France is right to intervene in Mali,"[3, 3, 3, 3, 3]",3.0,0.0,0
285,Free press is vital in democracy,"[5, 5, 5, 5, 5]",5.0,0.0,0
286,Fund education using a voucher scheme,"[3, 3, 3, 3, 3]",3.0,0.0,0
287,Fund needle exchanges,"[4, 4, 4, 4, 4]",4.0,0.0,0
288,"G20 protests – at best a waste of time, at worst a dangerous disruption","[2, 2, 2, 2, 2]",2.0,0.0,0
289,Gabon hosting the Africa Cup of Nations was a good thing,"[3, 3, 3, 3, 3]",3.0,0.0,0
290,Gambling must be banned,"[2, 2, 2, 2, 2]",2.0,0.0,0
291,Gay couples should be allowed to marry,"[5, 5, 5, 5, 5]",5.0,0.0,0
292,Gay marriage should be legal,"[5, 5, 5, 5, 5]",5.0,0.0,0
293,Gender Equality is Treating Men and Women in the Same Way,"[2, 2, 2, 2, 2]",2.0,0.0,0
294,Gender equality will not happen anytime soon,"[2, 2, 2, 2, 2]",2.0,0.0,0
295,Gender quotas in the EU are advantageous for the economies of member states,"[4, 4, 4, 4, 4]",4.0,0.0,0
296,Genetics is a defence to murder,"[1, 1, 2, 1, 2]",1.4,0.24,0
297,German prosecutors should investigate NSA surveillance of Angela Merkel,"[4, 4, 4, 4, 4]",4.0,0.0,0
298,German unification has been a success,"[4, 4, 4, 4, 4]",4.0,0.0,0
